artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Fatman Scoop,Be Faithful,164506,TRUE,2009,49,0.649,0.713,7,-6.488,1,0.295,0.000787,0,0.318,0.629,101.129,hip hop
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),189693,FALSE,2009,71,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,pop
Alexandra Burke,Hallelujah,217826,FALSE,2009,63,0.177,0.425,2,-6.211,0,0.0291,0.654,0,0.195,0.0942,182.571,pop
Black Eyed Peas,I Gotta Feeling,289133,FALSE,2009,80,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,hip hop+ pop
Flo Rida,Right Round,204640,FALSE,2009,74,0.72,0.672,7,-6.852,1,0.0551,0.009,0,0.232,0.705,124.986,hip hop+ pop
Pitbull,Hotel Room Service,238506,FALSE,2009,63,0.849,0.599,6,-8.164,1,0.227,0.00301,0.000249,0.0763,0.761,126.003,hip hop+ pop+ latin
Skillet,Monster,178013,FALSE,2009,75,0.64,0.957,8,-2.336,1,0.0741,0.0431,0,0.0789,0.692,134.992,rock+ pop+ metal
The Prodigy,Omen,216026,FALSE,2009,57,0.545,0.953,7,-5.172,1,0.0441,0.000941,0.117,0.281,0.558,140.002,rock+ pop+ Dance/Electronic
Black Eyed Peas,Meet Me Halfway,284373,FALSE,2009,72,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17E-05,0.324,0.4,130,hip hop+ pop
Kid Cudi,Day 'N' Nite (Nightmare),221240,FALSE,2009,72,0.88,0.443,11,-6.359,0,0.0653,0.462,7.13E-06,0.122,0.803,138.018,hip hop
Pitbull,I Know You Want Me (Calle Ocho),237120,FALSE,2009,59,0.825,0.743,2,-5.995,1,0.149,0.0142,2.12E-05,0.237,0.8,127.045,hip hop+ pop+ latin
Mariah Carey,Obsessed,242200,FALSE,2009,66,0.742,0.468,10,-5.557,0,0.0625,0.0465,0,0.826,0.369,86.443,pop+ R&B
Agnes,Release Me,256213,FALSE,2009,65,0.621,0.923,2,-3.124,0,0.0321,0.00645,7.28E-05,0.108,0.716,127.973,pop+ Dance/Electronic
Black Eyed Peas,Boom Boom Pow,251440,TRUE,2009,68,0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048,hip hop+ pop
Shakira,She Wolf,188866,FALSE,2009,68,0.865,0.69,7,-7.448,1,0.0443,0.285,0.0162,0.225,0.867,121.983,pop+ latin
JAY-Z,Empire State Of Mind,276920,TRUE,2009,82,0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,hip hop
OneRepublic,All The Right Moves,238000,FALSE,2009,65,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35E-06,0.283,0.65,146.024,pop
Jeremih,Birthday Sex,226506,FALSE,2009,67,0.677,0.523,7,-5.603,0,0.0439,0.295,0,0.15,0.446,60.019,hip hop+ pop+ R&B
Cascada,Evacuate The Dancefloor,207200,FALSE,2009,63,0.762,0.702,0,-5.87,1,0.0432,0.0167,0,0.314,0.898,127.029,hip hop+ pop+ Dance/Electronic
Linkin Park,New Divide,268613,FALSE,2009,68,0.493,0.808,5,-3.365,0,0.0362,0.000235,0,0.0983,0.38,117.971,rock+ metal
JAY-Z,Run This Town,267520,TRUE,2009,75,0.632,0.924,1,-1.802,1,0.29,0.281,0,0.263,0.441,86.844,hip hop
Eminem,We Made You,269613,FALSE,2009,63,0.924,0.853,2,-1.203,1,0.0792,0.107,1.45E-06,0.129,0.67,114.003,hip hop
